"ID","NOM","GP","GS","MIN","PTS","T1A","T1I","T2A","T2I","T3A","T3I","OREB","DREB","TREB","ASIS","REC","PER","FC","FR","PLUSMINUS","VAL","FGM","FGA","T1%","T2%","T3%","eFG%","TS%","poss_used","PPP","PTS_pg","MIN_pg","T1A_pg","T1I_pg","T2A_pg","T2I_pg","T3A_pg","T3I_pg","OREB_pg","DREB_pg","TREB_pg","ASIS_pg","REC_pg","PER_pg","FC_pg","FR_pg","TEAM","TEAM_id"
"1083354","M. ESPAÑA ALMENDRO",15,14,320.17,190,30,39,32,51,32,88,6,22,28,24,10,12,22,36,220,170,64,139,0.77,0.63,0.36,0.58,0.61,168.16,1.13,12.67,21.34,2,2.6,2.13,3.4,2.13,5.87,0.4,1.47,1.87,1.6,0.67,0.8,1.47,2.4,"AZULMARINO MALLORCA PALMA",981213
"1434977","C. GRANDE PARDO",15,14,316.05,62,22,25,11,32,6,14,9,35,44,70,22,28,37,26,157,131,17,46,0.88,0.34,0.43,0.43,0.54,85,0.73,4.13,21.07,1.47,1.67,0.73,2.13,0.4,0.93,0.6,2.33,2.93,4.67,1.47,1.87,2.47,1.73,"AZULMARINO MALLORCA PALMA",981213
"1527601","I. JUNIO MBULITO",15,13,319.02,79,17,32,25,54,4,24,19,49,68,29,12,15,22,35,251,132,29,78,0.53,0.46,0.17,0.4,0.43,107.08,0.74,5.27,21.27,1.13,2.13,1.67,3.6,0.27,1.6,1.27,3.27,4.53,1.93,0.8,1,1.47,2.33,"AZULMARINO MALLORCA PALMA",981213
"1828742","I. GIMENEZ MONSERRAT",15,0,99.95,37,4,6,6,15,7,20,3,5,8,2,5,10,15,5,68,8,13,35,0.67,0.4,0.35,0.47,0.49,47.64,0.78,2.47,6.66,0.27,0.4,0.4,1,0.47,1.33,0.2,0.33,0.53,0.13,0.33,0.67,1,0.33,"AZULMARINO MALLORCA PALMA",981213
"1865395","M. GARCIA MATEO",15,12,296.85,189,44,67,71,112,1,2,38,57,95,16,6,20,25,57,191,258,72,114,0.66,0.63,0.5,0.64,0.66,163.48,1.16,12.6,19.79,2.93,4.47,4.73,7.47,0.07,0.13,2.53,3.8,6.33,1.07,0.4,1.33,1.67,3.8,"AZULMARINO MALLORCA PALMA",981213
"2036490","C. ESTARELLAS COLOMAR",5,0,3.82,2,2,2,0,0,0,0,0,1,1,1,0,1,1,1,3,3,0,0,1,NA,NA,NA,1.14,1.88,1.06,0.4,0.76,0.4,0.4,0,0,0,0,0,0.2,0.2,0.2,0,0.2,0.2,0.2,"AZULMARINO MALLORCA PALMA",981213
"2073955","G. CAPEL CILLA",15,3,298.67,132,24,36,54,97,0,0,23,48,71,20,18,26,28,29,142,163,54,97,0.67,0.56,NA,0.56,0.58,138.84,0.95,8.8,19.91,1.6,2.4,3.6,6.47,0,0,1.53,3.2,4.73,1.33,1.2,1.73,1.87,1.93,"AZULMARINO MALLORCA PALMA",981213
"2074390","M. AVIÑOA CANALS",15,1,237.6,64,17,33,22,41,1,4,3,20,23,34,4,28,38,31,167,53,23,45,0.52,0.54,0.25,0.52,0.54,87.52,0.73,4.27,15.84,1.13,2.2,1.47,2.73,0.07,0.27,0.2,1.33,1.53,2.27,0.27,1.87,2.53,2.07,"AZULMARINO MALLORCA PALMA",981213
"2234683","K. RAKOVIC ",15,0,205.15,80,24,29,19,33,6,27,15,29,44,18,10,12,21,20,126,99,25,60,0.83,0.58,0.22,0.47,0.55,84.76,0.94,5.33,13.68,1.6,1.93,1.27,2.2,0.4,1.8,1,1.93,2.93,1.2,0.67,0.8,1.4,1.33,"AZULMARINO MALLORCA PALMA",981213
"2791252","A. BULGAK",15,15,350.5,125,16,23,26,49,19,69,19,96,115,22,10,28,22,20,184,169,45,118,0.7,0.53,0.28,0.46,0.49,156.12,0.8,8.33,23.37,1.07,1.53,1.73,3.27,1.27,4.6,1.27,6.4,7.67,1.47,0.67,1.87,1.47,1.33,"AZULMARINO MALLORCA PALMA",981213
